         21065184 function calls (20204408 primitive calls) in 1464.394 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     6323 1328.995    0.210 1328.995    0.210 {method 'acquire' of '_thread.lock' objects}
     4705    0.072    0.000    0.330    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/matplotlib/lines.py:649(recache)
70625/69516    0.072    0.000    0.262    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/contextlib.py:116(__exit__)
    92512    0.072    0.000    0.115    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/matplotlib/transforms.py:1783(__init__)
      488    0.071    0.000    0.071    0.000 {built-in method posix.waitpid}
    28801    0.071    0.000    1.024    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/matplotlib/text.py:162(update)
149443/145007    0.067    0.000    0.697    0.000 {built-in method builtins.next}
       80    0.066    0.001    0.066    0.001 {applyColorMap}
    37705    0.066    0.000    0.085    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/matplotlib/_api/__init__.py:65(check_isinstance)
      320    0.065    0.000    0.105    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/matplotlib/cm.py:389(to_rgba)
      750    0.063    0.000    0.067    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/weakref.py:165(__setitem__)
7380/4100    0.063    0.000    9.698    0.002 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/torch/nn/modules/container.py:202(forward)
      820    0.062    0.000    0.062    0.000 {built-in method torch._C._nn.adaptive_avg_pool2d}
    43460    0.062    0.000    7.094    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/torch/nn/modules/conv.py:454(_conv_forward)
   112004    0.062    0.000    0.093    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/torch/autograd/grad_mode.py:227(__init__)
   220128    0.060    0.000    0.085    0.000 {method 'add' of 'set' objects}
    15290    0.059    0.000    1.800    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/matplotlib/patches.py:753(get_patch_transform)
    21258    0.059    0.000    0.092    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/matplotlib/font_manager.py:710(__hash__)
    68851    0.059    0.000    0.262    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/matplotlib/artist.py:82(_stale_axes_callback)
      710    0.059    0.000 1329.963    1.873 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/torch/utils/data/dataloader.py:623(__next__)
    41000    0.058    0.000    0.733    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/torch/nn/modules/activation.py:101(forward)
    36333    0.058    0.000    0.110    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/matplotlib/lines.py:1149(_set_markercolor)
    40941    0.056    0.000    0.427    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/matplotlib/markers.py:237(_recache)
     5550    0.055    0.000    0.061    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/numpy/lib/function_base.py:1164(diff)
      142    0.055    0.000    0.055    0.000 {method 'release' of '_thread.RLock' objects}
   378668    0.055    0.000    0.055    0.000 {method 'get' of 'dict' objects}
      155    0.054    0.000    0.054    0.000 {built-in method posix.stat}
17448/10608    0.054    0.000    2.799    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/matplotlib/spines.py:330(get_spine_transform)
    43460    0.053    0.000    0.079    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/torch/nn/modules/batchnorm.py:408(_check_input_dim)
    42513    0.053    0.000    1.392    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/matplotlib/artist.py:1162(set)
    77264    0.051    0.000    0.297    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/torch/nn/modules/module.py:983(convert)
97137/97115    0.050    0.000    0.163    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
      150    0.050    0.000    0.227    0.002 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/multiprocessing/context.py:99(Queue)
    70625    0.050    0.000    0.186    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/contextlib.py:237(helper)
   214852    0.049    0.000    0.049    0.000 {method 'pop' of 'dict' objects}
     4243    0.049    0.000    0.095    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/pathlib.py:63(parse_parts)
      268    0.049    0.000    0.049    0.000 {built-in method torch._C._cuda_getDeviceCount}
    24712    0.048    0.000    0.059    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/matplotlib/font_manager.py:844(set_stretch)
    33656    0.047    0.000    0.069    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/matplotlib/font_manager.py:862(set_size)
      480    0.047    0.000    0.548    0.001 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/torch/nn/modules/module.py:1956(zero_grad)
     4240    0.046    0.000    0.474    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/matplotlib/ticker.py:433(__init__)
     2298    0.046    0.000    1.155    0.001 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/matplotlib/text.py:671(draw)
   126776    0.046    0.000    0.163    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/torch/nn/modules/module.py:1790(children)
     7108    0.046    0.000    0.046    0.000 {method 'astype' of 'numpy.ndarray' objects}
    20042    0.046    0.000    0.132    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/numpy/core/fromnumeric.py:38(_wrapit)
    31680    0.045    0.000    0.092    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/matplotlib/transforms.py:2044(translate)
    41000    0.045    0.000    0.675    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/torch/nn/functional.py:1446(relu)
    57852    0.045    0.000    0.185    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/matplotlib/colors.py:106(_is_nth_color)
    42634    0.044    0.000    0.280    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/matplotlib/transforms.py:2508(composite_transform_factory)
    60580    0.044    0.000    0.379    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/matplotlib/transforms.py:170(invalidate)
        1    0.044    0.044    0.044    0.044 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/torch/serialization.py:286(__init__)
    15562    0.044    0.000    0.175    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/matplotlib/transforms.py:1996(rotate)
     4240    0.043    0.000    0.179    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/matplotlib/ticker.py:1987(_validate_steps)
      340    0.043    0.000    0.043    0.000 {method 'sum' of 'torch._C._TensorBase' objects}
    35532    0.043    0.000    0.201    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/matplotlib/colors.py:152(to_rgba)
    12111    0.043    0.000    0.081    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/matplotlib/lines.py:1087(set_linestyle)
13582/6032    0.042    0.000    0.164    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/matplotlib/transforms.py:2441(get_affine)
    58166    0.042    0.000    0.060    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/re.py:273(_compile)
   452778    0.042    0.000    0.042    0.000 {built-in method builtins.id}
      235    0.041    0.000    0.119    0.001 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/torch/optim/adam.py:319(_single_tensor_adam)
